yminusthree yminustwo yminusone tot_obs_egg tot_est_egg tot_mat_B tcb Threshold res_SR res_tot_egg init_age_3 tot_sp_B tot_sp_N tot_mat_N tot_post_N N sel_naa_prop3 sel_naa_prop4 sel_naa_prop5 sel_naa_prop6 sel_naa_prop7 sel_naa_prop8 obs_c_comp3 obs_c_comp4 obs_c_comp5 obs_c_comp6 obs_c_comp7 obs_c_comp8 est_sp_comp3 est_sp_comp4 est_sp_comp5 est_sp_comp6 est_sp_comp7 est_sp_comp8 obs_sp_comp3 obs_sp_comp4 obs_sp_comp5 obs_sp_comp6 obs_sp_comp7 obs_sp_comp8 SR Year
 52198.8 52545.3 51838.6 4.33512 4.08469 46917.7 5368 7500 1.02503 0.0595055 25.0829 42048 474.621 527.83 597.914 651.123 0.0103598 0.820556 0.0139375 0.00755723 0.0268666 0.120723 0.02 0.86 0.03 0.01 0.01 0.07 0.0138929 0.872201 0.010458 0.00513728 0.017939 0.0803715 0.02 0.89 0.04 0 0.02 0.04 170.382 1992
 36131.2 36350.1 36157.1 3.71503 2.31116 32746.4 10186 7500 0.65423 0.474638 5.92106 23505.8 243.181 338.002 256.251 351.072 0.00296527 0.0250322 0.869467 0.00944912 0.00462061 0.0884655 0.0129199 0.0413437 0.891473 0.0180879 0.00775194 0.0284238 0.00577967 0.0375854 0.868006 0.00836001 0.00399821 0.076271 0.02 0.02 0.87 0.03 0 0.06 121.029 1993
 22710.2 22673.7 22715.4 1.49413 1.62873 20598.7 4886.91 7500 1.44334 -0.0862547 86.7932 16165.4 135.851 171.656 198.911 234.716 0.0846215 0.011204 0.0384306 0.786191 0.00750439 0.0720488 0.0313112 0.0176125 0.0919765 0.78865 0.0293542 0.0410959 0.15969 0.0165318 0.0389256 0.714213 0.00668322 0.0639564 0.105263 0.0631579 0.0947368 0.652632 0.0421053 0.0421053 91.514 1994
 31448.6 31567.3 31443.9 3.49896 2.60918 28621.6 2977.9 7500 0.885313 0.29343 474.884 25920.1 219.722 241.009 568.42 589.708 0.440189 0.158202 0.00884798 0.0186754 0.340409 0.0336759 0.216667 0.05625 0.03125 0.0458333 0.620833 0.0291667 0.573021 0.163596 0.00648755 0.0124249 0.22252 0.0219501 0.347938 0.0773196 0.0257732 0.056701 0.46134 0.0309278 129.362 1995
 39926 40038.3 39788 3.59277 2.83713 36075.1 8249.15 7500 -0.514504 0.236131 232.819 28591.7 275.1 343.67 492.375 560.945 0.15012 0.61159 0.0969955 0.00349262 0.00666077 0.131141 0.391911 0.396095 0.0488145 0.0125523 0.0753138 0.0753138 0.203661 0.641755 0.0682719 0.00218599 0.00407999 0.0800459 0.263636 0.390486 0.0302725 0.031568 0.123019 0.161018 137.854 1996
 46125.6 46303.1 46274.6 2.8877 3.31137 43267.9 11254.5 20000 0.20277 -0.136903 387.545 33058 293.267 367.887 597.153 671.773 0.220084 0.257486 0.430667 0.0407152 0.00129287 0.0497554 0.254274 0.207265 0.316239 0.0363248 0.0384615 0.147436 0.320437 0.29061 0.32761 0.0275907 0.000857734 0.0328951 0.416829 0.182728 0.215116 0.0289277 0.0173527 0.139047 150.451 1997
 50174.1 49691.5 50508.9 3.58394 3.89149 45687.5 6786.56 20000 0.38443 -0.0823307 313.539 39530.9 341.7 392.564 607.387 658.251 0.167692 0.404432 0.195375 0.196076 0.0163824 0.0200422 0.132118 0.489749 0.177677 0.0979499 0.0250569 0.0774487 0.236422 0.449549 0.15166 0.137364 0.0112647 0.0137392 0.27193 0.482456 0.0859649 0.0824561 0.0157895 0.0614035 165.477 1998
 59143 59053.8 59370.5 4.49573 4.47447 53689.8 9421.46 20000 -0.135104 0.00473876 82.4086 45142.8 372.158 440.414 477.748 546.004 0.0358498 0.357469 0.372496 0.113408 0.102171 0.0186061 0.026253 0.396181 0.405728 0.0763723 0.052506 0.0429594 0.0565029 0.443038 0.320673 0.0879409 0.0777334 0.0141118 0.0409639 0.443373 0.373494 0.086747 0.0481928 0.00722892 175.753 1999
 57944.7 58170.3 58142.8 5.85134 4.85933 52725.8 4619.37 20000 1.27315 0.18577 184.271 48535.2 371.387 402.262 518.042 548.918 0.0816576 0.0954621 0.408324 0.266153 0.0725726 0.0758307 0.260802 0.0709877 0.359568 0.233025 0.0509259 0.0246914 0.134551 0.125675 0.385522 0.22892 0.0613763 0.0639552 0.209246 0.080292 0.381995 0.253041 0.053528 0.0218978 180.858 2000
 65332.9 65339.5 65471.2 6.02643 4.86801 59390.3 12060 20000 -0.697067 0.213469 243.049 48449.7 360.542 437.56 561.433 638.45 0.102701 0.206903 0.108518 0.3037 0.179718 0.098459 0.283447 0.247166 0.0680272 0.204082 0.160998 0.0362812 0.170092 0.268631 0.0972456 0.244578 0.14194 0.0775142 0.2373 0.1708 0.0585 0.2594 0.2167 0.0569 180.739 2001
